customer_id,product_id,basket_date,basket_count,year_month
42366585,41475073,2019-06-19,2,2019-06
35956841,43279538,2019-06-19,2,2019-06
26139578,31715598,2019-06-19,3,2019-06
3262253,47880260,2019-06-19,2,2019-06
20056678,44747002,2019-06-19,2,2019-06
32037116,33739394,2019-06-19,2,2019-06
17565651,46000191,2019-06-19,2,2019-06
42079380,46881033,2019-06-19,2,2019-06
25533477,44752779,2019-06-19,2,2019-06
10385144,41882886,2019-06-19,2,2019-06
5216868,8670770,2019-06-19,6,2019-06
9036689,33914921,2019-06-19,2,2019-06
20265792,46026447,2019-06-19,2,2019-06
34654104,3632762,2019-06-19,2,2019-06
31159555,33218001,2019-06-19,2,2019-06
31733002,5941180,2019-06-18,2,2019-06
44025439,34631629,2019-06-18,2,2019-06
1920107,46675683,2019-06-18,2,2019-06
13374538,33276794,2019-06-18,2,2019-06
12434467,7445901,2019-06-18,2,2019-06
25371082,39475547,2019-06-18,2,2019-06
2068361,42402177,2019-06-18,2,2019-06
28204561,39058017,2019-06-18,3,2019-06
44417560,43864701,2019-06-18,2,2019-06
29215183,32356464,2019-06-18,2,2019-06
11360880,47007182,2019-06-18,2,2019-06
22068103,35420610,2019-06-17,2,2019-06
6056954,42522846,2019-06-17,2,2019-06
13535048,43812675,2019-06-17,2,2019-06
28048336,48333960,2019-06-17,2,2019-06
7950100,42478659,2019-06-17,2,2019-06
8928341,1197926,2019-06-17,2,2019-06
34368983,37145767,2019-06-17,2,2019-06
11259103,37720451,2019-06-17,2,2019-06
31493048,38221381,2019-06-17,2,2019-06
43213385,4131698,2019-06-17,2,2019-06
43352582,43357885,2019-06-17,2,2019-06
2966006,33028204,2019-06-17,2,2019-06
3779615,51605574,2019-06-17,2,2019-06
31616251,50615765,2019-06-17,2,2019-06
44416693,40276068,2019-06-17,2,2019-06
2809135,6568127,2019-06-17,2,2019-06
520652,46455283,2019-06-17,2,2019-06
13418756,34366102,2019-06-17,2,2019-06
16289848,40220752,2019-06-17,2,2019-06
23460100,6844409,2019-06-17,2,2019-06
40411726,2129027,2019-06-17,2,2019-06
21159636,47608896,2019-06-17,2,2019-06
12375065,38963117,2019-06-17,2,2019-06
3343477,50416775,2019-06-17,2,2019-06
43569820,47019441,2019-06-17,2,2019-06
20861832,47122587,2019-06-17,2,2019-06
42996398,31508759,2019-06-18,2,2019-06
14792714,37621862,2019-06-18,2,2019-06
11257276,47007182,2019-06-17,2,2019-06
23878579,34944273,2019-06-17,2,2019-06
11350951,44263141,2019-06-17,2,2019-06
42823122,49953830,2019-06-17,2,2019-06
15335022,31294046,2019-06-17,2,2019-06
19138173,40276011,2019-06-17,2,2019-06
28655652,49817430,2019-06-17,2,2019-06
1599046,32556376,2019-06-17,2,2019-06
27450196,35008370,2019-06-17,2,2019-06
42541854,50041873,2019-06-17,2,2019-06
2090140,48346739,2019-06-17,2,2019-06
43043252,33712748,2019-06-17,2,2019-06
8917417,1068944,2019-06-17,2,2019-06
7751651,46500920,2019-06-16,3,2019-06
23462918,6259159,2019-06-16,2,2019-06
44095389,33875067,2019-06-16,2,2019-06
44364979,32942036,2019-06-16,2,2019-06
9912477,31299289,2019-06-16,2,2019-06
25083717,31546667,2019-06-16,3,2019-06
20362680,46858785,2019-06-16,2,2019-06
40228358,42723219,2019-06-16,2,2019-06
17922308,926270,2019-06-16,2,2019-06
27641594,33506465,2019-06-16,3,2019-06
4749863,33354168,2019-06-16,3,2019-06
34508812,40276068,2019-06-16,2,2019-06
44382631,43314126,2019-06-16,2,2019-06
10095537,47933392,2019-06-16,2,2019-06
9567372,51821712,2019-06-17,2,2019-06
11344926,47057070,2019-06-16,2,2019-06
1357108,43902407,2019-06-16,2,2019-06
9116458,49693345,2019-06-16,2,2019-06
2499367,1263722,2019-06-16,2,2019-06
2153897,51042056,2019-06-16,2,2019-06
16974894,339429,2019-06-16,2,2019-06
10918767,3257032,2019-06-16,2,2019-06
44363986,39024454,2019-06-16,2,2019-06
27021765,3549934,2019-06-16,2,2019-06
33060425,34927870,2019-06-16,2,2019-06
29196935,43864288,2019-06-16,2,2019-06
17572286,36308101,2019-06-16,2,2019-06
14997362,31324877,2019-06-16,2,2019-06
34658130,50350530,2019-06-16,2,2019-06
40934891,2565792,2019-06-16,2,2019-06
31480906,6102908,2019-06-16,2,2019-06
18454467,50803208,2019-06-16,2,2019-06
3846865,3125977,2019-06-16,2,2019-06
1227904,43482185,2019-06-16,3,2019-06
10458906,3714100,2019-06-16,2,2019-06
1070869,46130148,2019-06-16,2,2019-06
28037137,34981913,2019-06-16,2,2019-06
20098151,35167685,2019-06-16,2,2019-06
16049544,53560311,2019-06-16,2,2019-06
12376998,50836009,2019-06-16,3,2019-06
32756438,53035093,2019-06-16,2,2019-06
3460147,50436075,2019-06-16,2,2019-06
31600282,31780330,2019-06-16,2,2019-06
15177298,2963490,2019-06-16,2,2019-06
33513547,5995368,2019-06-16,2,2019-06
5226041,46134461,2019-06-16,2,2019-06
29697847,44767226,2019-06-16,2,2019-06
943919,37215955,2019-06-16,2,2019-06
29462763,35191492,2019-06-16,2,2019-06
25752881,36481470,2019-06-16,2,2019-06
10673417,86003,2019-06-16,2,2019-06
10673417,39648211,2019-06-16,2,2019-06
33650865,50462654,2019-06-16,2,2019-06
10702365,49226769,2019-06-16,2,2019-06
13483322,54592777,2019-06-16,2,2019-06
14571889,32570198,2019-06-15,2,2019-06
11222196,34642271,2019-06-16,2,2019-06
2429391,31540074,2019-06-16,2,2019-06
21354334,34081119,2019-06-15,2,2019-06
11608660,47639646,2019-06-15,2,2019-06
29816325,42244011,2019-06-15,3,2019-06
14953708,49860049,2019-06-15,3,2019-06
28758609,35545522,2019-06-15,2,2019-06
43486119,44146315,2019-06-15,2,2019-06
8842411,44471280,2019-06-15,2,2019-06
2118687,38270608,2019-06-15,2,2019-06
2118687,32586402,2019-06-15,2,2019-06
38547897,32792042,2019-06-15,2,2019-06
6527616,44267470,2019-06-15,2,2019-06
13943634,31884711,2019-06-15,2,2019-06
40802277,38950239,2019-06-15,2,2019-06
42884718,34035848,2019-06-15,2,2019-06
4810556,33781223,2019-06-15,2,2019-06
26633229,33028936,2019-06-15,3,2019-06
27507650,4915558,2019-06-15,3,2019-06
10974747,2864832,2019-06-15,2,2019-06
43594568,31614416,2019-06-15,2,2019-06
13635398,5977588,2019-06-15,2,2019-06
23424372,40455682,2019-06-15,2,2019-06
4950885,46072637,2019-06-15,2,2019-06
31041476,35810906,2019-06-15,2,2019-06
6945297,37758603,2019-06-15,2,2019-06
3492878,50116869,2019-06-15,2,2019-06
10872901,39845663,2019-06-15,2,2019-06
5932302,34859104,2019-06-15,2,2019-06
4897641,34525548,2019-06-15,2,2019-06
35960037,31541857,2019-06-15,3,2019-06
6128936,46296421,2019-06-15,2,2019-06
7463078,37356069,2019-06-15,2,2019-06
3436696,26496209,2019-06-15,2,2019-06
10233112,52238545,2019-06-15,2,2019-06
2469408,42383131,2019-06-15,3,2019-06
16158773,41883914,2019-06-15,2,2019-06
924399,44767258,2019-06-15,2,2019-06
11404710,51887498,2019-06-15,2,2019-06
6677529,50231451,2019-06-15,2,2019-06
36710547,458885,2019-06-15,2,2019-06
38962029,51030750,2019-06-15,2,2019-06
34042133,31125069,2019-06-15,2,2019-06
39799296,42780162,2019-06-15,2,2019-06
14491963,39684405,2019-06-15,2,2019-06
10334216,34525502,2019-06-15,2,2019-06
27659902,34689678,2019-06-15,2,2019-06
17398974,34441398,2019-06-16,2,2019-06
2256737,6538172,2019-06-15,2,2019-06
1612736,4451125,2019-06-15,2,2019-06
5984987,51034595,2019-06-15,2,2019-06
11004573,50596116,2019-06-15,3,2019-06
30996342,46364529,2019-06-15,2,2019-06
36585170,41144281,2019-06-15,2,2019-06
6075886,35109012,2019-06-15,2,2019-06
26633229,43524799,2019-06-15,2,2019-06
6371156,32251825,2019-06-15,2,2019-06
12272,232285,2019-06-15,2,2019-06
41608570,31720319,2019-06-15,2,2019-06
42968094,6531200,2019-06-14,2,2019-06
36115179,3213828,2019-06-14,2,2019-06
39042643,39359897,2019-06-14,3,2019-06
33869609,48964455,2019-06-14,2,2019-06
1639831,3937199,2019-06-14,2,2019-06
1049021,4795856,2019-06-14,2,2019-06
30769451,43332848,2019-06-14,3,2019-06
7906530,32418640,2019-06-14,2,2019-06
15278569,42114320,2019-06-14,2,2019-06
4697099,40736994,2019-06-14,2,2019-06
19625674,48726494,2019-06-14,2,2019-06
33878826,31978880,2019-06-14,2,2019-06
1599524,44746811,2019-06-14,2,2019-06
37373667,41727481,2019-06-14,2,2019-06
11089130,53669665,2019-06-14,2,2019-06
23713179,46692673,2019-06-14,3,2019-06
7768276,35607765,2019-06-14,2,2019-06
31276656,40594443,2019-06-14,2,2019-06
21414215,52199862,2019-06-14,2,2019-06
15741841,50891208,2019-06-14,2,2019-06
16042702,40760526,2019-06-14,2,2019-06
16048941,46167279,2019-06-14,2,2019-06
15741841,48031618,2019-06-14,2,2019-06
1547464,39827537,2019-06-14,2,2019-06
31550010,41313598,2019-06-14,2,2019-06
26788522,34407849,2019-06-18,2,2019-06
30085572,51183379,2019-06-18,4,2019-06
12857595,50601765,2019-06-18,2,2019-06
21898560,40448251,2019-06-18,2,2019-06
13372025,40204599,2019-06-18,2,2019-06
12304334,41381269,2019-06-18,3,2019-06
31638616,35505100,2019-06-18,2,2019-06
14273568,43888529,2019-06-18,3,2019-06
18146945,32282126,2019-06-18,2,2019-06
24742239,49650994,2019-06-18,2,2019-06
10416769,50059355,2019-06-18,2,2019-06
1578791,31573900,2019-06-18,2,2019-06
7782295,32613496,2019-06-18,4,2019-06
15606177,3177325,2019-06-18,2,2019-06
6948836,3058908,2019-06-18,3,2019-06
22573283,39543957,2019-06-18,2,2019-06
4130872,52403341,2019-06-18,2,2019-06
34531043,48018509,2019-06-18,2,2019-06
22963164,33109072,2019-06-18,2,2019-06
7150976,47047732,2019-06-18,2,2019-06
18506470,52924977,2019-06-18,2,2019-06
39744737,40276077,2019-06-18,2,2019-06
19061408,37078285,2019-06-18,2,2019-06
34857404,38195391,2019-06-18,2,2019-06
7653228,32242274,2019-06-18,2,2019-06
20997659,49119444,2019-06-18,2,2019-06
35334684,6194478,2019-06-18,2,2019-06
16915612,37674279,2019-06-18,2,2019-06
44415679,46280444,2019-06-18,2,2019-06
19282386,55445659,2019-06-18,3,2019-06
15367725,48051805,2019-06-18,2,2019-06
15853025,6911634,2019-06-18,2,2019-06
42839839,51881932,2019-06-18,2,2019-06
20575244,51981259,2019-06-18,2,2019-06
30656308,50390402,2019-06-19,2,2019-06
5897414,46106748,2019-06-19,2,2019-06
10437074,3735903,2019-06-19,3,2019-06
30617300,32128322,2019-06-19,2,2019-06
20517889,32229707,2019-06-19,2,2019-06
17420231,31560347,2019-06-18,2,2019-06
20380836,41771898,2019-06-19,2,2019-06
6683186,34373617,2019-06-19,2,2019-06
24464827,48631902,2019-06-18,2,2019-06
13475802,44076001,2019-06-18,2,2019-06
14735625,47108940,2019-06-19,2,2019-06
20653843,32397777,2019-06-18,4,2019-06
7130239,1069267,2019-06-18,2,2019-06
17915586,46040537,2019-06-18,2,2019-06
12273495,42887442,2019-06-14,2,2019-06
6723024,44167642,2019-06-14,2,2019-06
26115146,32099744,2019-06-15,2,2019-06
23531841,50784707,2019-06-14,2,2019-06
8571659,1069456,2019-06-14,2,2019-06
853186,46876805,2019-06-14,2,2019-06
44212229,2301364,2019-06-15,4,2019-06
10113448,25458659,2019-06-14,2,2019-06
5040972,31288872,2019-06-14,2,2019-06
31498743,47891714,2019-06-14,2,2019-06
33039898,49047266,2019-06-13,3,2019-06
32774082,51840644,2019-06-13,2,2019-06
10478837,44749980,2019-06-13,2,2019-06
17020047,6938963,2019-06-13,2,2019-06
11174575,33855676,2019-06-13,2,2019-06
1036934,47365687,2019-06-13,2,2019-06
27353728,33966228,2019-06-13,2,2019-06
23893799,49267348,2019-06-13,2,2019-06
23893799,51744192,2019-06-13,2,2019-06
8707143,40946466,2019-06-13,2,2019-06
29865301,46651068,2019-06-13,2,2019-06
22691390,44289413,2019-06-13,2,2019-06
41131037,48093124,2019-06-13,2,2019-06
